"ADP","player_name","Team","Pos","year","player_age","b_game","pa","woba","xwoba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sweet_spot_percent","oz_swing_percent","whiff_percent","k_percent","bb_percent","avg_swing_speed","avg_swing_length","r_total_stolen_base","r_total_caught_stealing","percentile_xwoba","percentile_exit_velocity_avg","percentile_barrel_batted_rate","percentile_hard_hit_percent","percentile_oz_swing_percent","percentile_whiff_percent","percentile_k_percent","percentile_bb_percent","percentile_avg_swing_speed","percentile_avg_swing_length","player_id","p_game","p_formatted_ip","p_save","p_hold","p_starting_p","fastball_avg_speed","breaking_avg_spin","percentile_fastball_avg_speed","percentile_breaking_avg_spin"
210,"Dominguez, Jasson","NYY","OF",2023,20,8,33,0.403,0.355,89.6,17.4,56.5,43.5,23.7,33.9,24.2,6.1,75.3,7.8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,"Dominguez, Jasson","NYY","OF",2024,21,18,67,0.285,0.305,89.4,10.8,45.9,24.3,28.1,23.4,28.4,16.4,75.4,7.7,5,0,0.590909090909091,0.675324675324675,0.797077922077922,0.826298701298701,0.472402597402597,0.339285714285714,0.720779220779221,0.982142857142857,0.949675324675325,0.847402597402597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"Martinez, Nick","Cin","RP, SP",2024,33,NA,NA,0.279,0.278,86.4,5.1,30.5,NA,33.9,23.1,20.4,3.2,NA,NA,NA,NA,0.145057766367137,0.110397946084724,0.195121951219512,0.0718870346598203,0.92811296534018,0.364569961489089,0.430038510911425,0.0346598202824134,NA,NA,607259,42,142.1,0,7,16,91.2,2538,0.195876288659794,0.619295958279009
211,"Martinez, Nick","Cin","RP, SP",2022,31,NA,NA,0.315,0.304,86.5,8.1,37,NA,32.5,25.6,21.2,9.2,NA,NA,NA,NA,0.396419437340153,0.129156010230179,0.603580562659846,0.391304347826087,0.851662404092072,0.548593350383632,0.491048593350384,0.554987212276215,NA,NA,607259,47,106.1,8,8,10,91.9,2605,0.263157894736842,0.790426908150065
211,"Martinez, Nick","Cin","RP, SP",2023,32,NA,NA,0.294,0.308,84.7,7.1,29.9,NA,33.1,28.6,23,8.7,NA,NA,NA,NA,0.354755784061697,0.0347043701799486,0.372750642673522,0.0758354755784062,0.879177377892031,0.7146529562982,0.571979434447301,0.439588688946015,NA,NA,607259,63,110.1,1,15,9,91.9,2558,0.268983268983269,0.705882352941177
212,"Adam, Jason","SD","RP",2023,31,NA,NA,0.283,0.32,87.2,12.1,39.5,NA,29,34.4,31.1,9,NA,NA,NA,NA,0.462724935732648,0.194087403598972,0.889460154241645,0.510282776349614,0.555269922879177,0.928020565552699,0.929305912596401,0.473007712082262,NA,NA,592094,56,54.1,12,11,0,94.6,2694,0.675675675675676,0.871895424836601
212,"Adam, Jason","SD","RP",2024,32,NA,NA,0.224,0.276,88.5,6.4,37.8,NA,33,38.4,28.7,8.2,NA,NA,NA,NA,0.133504492939666,0.381258023106547,0.30808729139923,0.409499358151476,0.887034659820282,0.984595635430038,0.871630295250321,0.446726572528883,NA,NA,592094,74,73.2,4,31,0,95.5,2700,0.793814432989691,0.842242503259452
212,"Adam, Jason","SD","RP",2022,30,NA,NA,0.213,0.226,85.2,5.1,27.5,NA,36.3,38.8,31.6,7.2,NA,NA,NA,NA,0.0191815856777494,0.0588235294117647,0.198209718670077,0.0575447570332481,0.957800511508951,0.980818414322251,0.930946291560102,0.332480818414322,NA,NA,592094,67,63.1,8,22,0,94.8,2719,0.708600770218229,0.912031047865459
213,"Lowe, Nathaniel","Wsh","1B",2022,26,157,645,0.368,0.344,90.2,9.9,44.8,34.1,29.2,24.9,22.8,7.4,NA,NA,2,2,0.895800933125972,0.800933125972006,0.762052877138414,0.827371695178849,0.499222395023328,0.399688958009331,0.410575427682737,0.474339035769829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,"Lowe, Nathaniel","Wsh","1B",2023,27,161,724,0.34,0.339,89.8,6.5,41.6,36.7,20.8,20.6,22.8,12.8,74.3,7.3,1,0,0.805466237942122,0.697749196141479,0.451768488745981,0.655948553054662,0.117363344051447,0.184887459807074,0.413183279742765,0.884244372990354,0.875675675675676,0.437837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,"Lowe, Nathaniel","Wsh","1B",2024,28,140,565,0.337,0.328,88.9,5.8,40,32.6,23.5,20.6,22.1,12.6,73.3,7.3,2,0,0.790584415584416,0.590909090909091,0.418831168831169,0.595779220779221,0.199675324675325,0.207792207792208,0.386363636363636,0.931818181818182,0.795454545454545,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"Cortes Jr., Nestor","Mil","SP",2023,28,NA,NA,0.323,0.296,89.6,7.4,41.5,NA,26.1,24.2,25.2,7.5,NA,NA,NA,NA,0.241645244215938,0.593830334190231,0.410025706940874,0.615681233933162,0.314910025706941,0.433161953727506,0.705655526992288,0.299485861182519,NA,NA,641482,12,63.1,0,0,12,89.8,2569,0.0990990990990991,0.72156862745098
214,"Cortes Jr., Nestor","Mil","SP",2022,27,NA,NA,0.245,0.257,87.9,5.3,34.7,NA,30.9,24.5,26.5,6.2,NA,NA,NA,NA,0.0831202046035806,0.327365728900256,0.226342710997442,0.265984654731458,0.717391304347826,0.461636828644501,0.786445012787724,0.198209718670077,NA,NA,641482,28,158.1,0,0,28,89.9,2519,0.111681643132221,0.673997412677878
214,"Cortes Jr., Nestor","Mil","SP",2024,29,NA,NA,0.307,0.295,89.7,7.9,43.6,NA,27.4,24.2,22.8,5.5,NA,NA,NA,NA,0.278562259306804,0.657252888318357,0.504492939666239,0.76379974326059,0.423620025673941,0.460847240051348,0.593068035943517,0.145057766367137,NA,NA,641482,31,174.1,0,0,30,90.3,2568,0.123711340206186,0.667535853976532
215,"Yates, Kirby","LAD","RP",2022,35,NA,NA,0.371,0.336,90.1,18.2,45.5,NA,24.7,29.8,18.2,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489446,9,7,0,2,0,93.4,2346,NA,NA
